,DATASOURCE,DAYOFSERVICE,TRIPID,LINEID,ROUTEID,DIRECTION,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,BASIN,TENDERLOT,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
4741,DB,26-JUN-18 00:00:00,7100864,39A,39A_43,2,34216,29100,34448.0,29094.0,BasDef,,,,04-JUL-18 12:21:00,",2425270,"
4804,DB,18-FEB-18 00:00:00,6274915,39A,39A_43,2,33271,29700,33873.0,29953.0,BasDef,,,,26-FEB-18 11:09:33,",2423878,"
4805,DB,18-FEB-18 00:00:00,6274922,39A,39A_40,1,72220,68400,72893.0,68396.0,BasDef,,,,26-FEB-18 11:09:33,",2423888,"
4806,DB,18-FEB-18 00:00:00,6274923,39A,39A_43,2,78281,74700,78615.0,74695.0,BasDef,,,,26-FEB-18 11:09:33,",2423890,"
5085,DB,11-OCT-18 00:00:00,8023269,39A,39A_43,2,71121,66000,72142.0,66063.0,BasDef,,,,23-OCT-18 07:12:11,",2416703,"
5086,DB,11-OCT-18 00:00:00,8027878,39A,39A_43,2,72321,67200,74242.0,68487.0,BasDef,,,,23-OCT-18 07:12:11,",2426180,"
5096,DB,11-OCT-18 00:00:00,8025109,39A,39A_43,2,39390,34200,39772.0,34185.0,BasDef,,,,23-OCT-18 07:12:11,",2426537,"
5097,DB,11-OCT-18 00:00:00,8020475,39A,39A_43,2,40590,35400,40907.0,35488.0,BasDef,,,,23-OCT-18 07:12:11,",2417276,"
5098,DB,11-OCT-18 00:00:00,8024541,39A,39A_43,2,38790,33600,39124.0,33567.0,BasDef,,,,23-OCT-18 07:12:11,",2417710,"
5099,DB,11-OCT-18 00:00:00,8029309,39A,39A_43,2,38190,33000,39538.0,33143.0,BasDef,,,,23-OCT-18 07:12:11,",2428418,"
5100,DB,11-OCT-18 00:00:00,8029927,39A,39A_43,2,37590,32400,,32333.0,BasDef,,,,23-OCT-18 07:12:11,",2425926,"
5187,DB,11-APR-18 00:00:00,6623801,39A,39A_43,2,62994,57600,62510.0,57577.0,BasDef,,,,20-APR-18 14:41:36,",2416753,"
5188,DB,11-APR-18 00:00:00,6624434,39A,39A_43,2,64194,58800,64264.0,58786.0,BasDef,,,,20-APR-18 14:41:36,",2428424,"
5189,DB,11-APR-18 00:00:00,6613980,39A,39A_43,2,59394,54000,58743.0,53807.0,BasDef,,,,20-APR-18 14:41:36,",2423405,"
5190,DB,11-APR-18 00:00:00,6620575,39A,39A_43,2,64794,59400,65714.0,59426.0,BasDef,,,,20-APR-18 14:41:36,",2417716,"
5191,DB,11-APR-18 00:00:00,6627855,39A,39A_43,2,65394,60000,66103.0,59956.0,BasDef,,,,20-APR-18 14:41:36,",2426543,"
5192,DB,11-APR-18 00:00:00,6614168,39A,39A_43,2,61194,55800,,55691.0,BasDef,,,,20-APR-18 14:41:36,",2419754,"
5193,DB,11-APR-18 00:00:00,6617891,39A,39A_43,2,65994,60600,66103.0,60563.0,BasDef,,,,20-APR-18 14:41:36,",2417282,"
5194,DB,11-APR-18 00:00:00,6626754,39A,39A_43,2,63594,58200,64422.0,58203.0,BasDef,,,,20-APR-18 14:41:36,",2425932,"
5195,DB,11-APR-18 00:00:00,6626545,39A,39A_43,2,61794,56400,62091.0,56373.0,BasDef,,,,20-APR-18 14:41:36,",2417839,"
5196,DB,11-APR-18 00:00:00,6627990,39A,39A_43,2,59994,54600,59588.0,54507.0,BasDef,,,,20-APR-18 14:41:36,",2428234,"
5197,DB,11-APR-18 00:00:00,6615132,39A,39A_43,2,66594,61200,66668.0,61180.0,BasDef,,,,20-APR-18 14:41:36,",2426071,"
5405,DB,11-MAR-18 00:00:00,6397707,39A,39A_43,2,67957,63600,68327.0,63584.0,BasDef,,,,19-MAR-18 15:02:59,",2426235,"
5454,DB,26-SEP-18 00:00:00,7768271,39A,39A_40,1,39759,35400,40672.0,35404.0,BasDef,,,,18-OCT-18 18:01:47,",2428097,"
5556,DB,26-SEP-18 00:00:00,7758667,39A,39A_43,2,45383,40800,46234.0,40827.0,BasDef,,,,18-OCT-18 18:01:47,",2426174,"
5557,DB,26-SEP-18 00:00:00,7773674,39A,39A_43,2,41183,36600,41830.0,36722.0,BasDef,,,,18-OCT-18 18:01:47,",2429017,"
5558,DB,26-SEP-18 00:00:00,7773862,39A,39A_43,2,44783,40200,45630.0,,BasDef,,,,18-OCT-18 18:01:47,",2419461,"
5559,DB,26-SEP-18 00:00:00,7768272,39A,39A_43,2,46583,42000,47029.0,41860.0,BasDef,,,,18-OCT-18 18:01:47,",2428231,"
5560,DB,26-SEP-18 00:00:00,7759990,39A,39A_43,2,47783,43200,48787.0,43187.0,BasDef,,,,18-OCT-18 18:01:47,",2419751,"
5561,DB,26-SEP-18 00:00:00,7772856,39A,39A_43,2,44183,39600,44605.0,,BasDef,,,,18-OCT-18 18:01:47,",2424608,"
5562,DB,26-SEP-18 00:00:00,7765742,39A,39A_43,2,41783,37200,41612.0,37107.0,BasDef,,,,18-OCT-18 18:01:47,",2426815,"
5644,DB,26-JUN-18 00:00:00,7110350,39A,39A_40,1,60199,54600,60257.0,54590.0,BasDef,,,,04-JUL-18 12:21:00,",2429021,"
5664,DB,26-JUN-18 00:00:00,7101835,39A,39A_40,1,66046,60600,66032.0,,BasDef,,0.0,237995.0,04-JUL-18 12:21:00,",2409046,"
5689,DB,26-JUN-18 00:00:00,7101552,39A,39A_40,1,27973,24000,28236.0,24023.0,BasDef,,,,04-JUL-18 12:21:00,",2418369,"
5690,DB,26-JUN-18 00:00:00,7101768,39A,39A_43,2,46633,42000,47031.0,41969.0,BasDef,,,,04-JUL-18 12:21:00,",2428231,"
5759,DB,21-JUN-18 00:00:00,7019730,39A,39A_43,2,37107,31800,38767.0,,BasDef,,,,29-JUN-18 15:43:00,",2416747,"
5771,DB,21-JUN-18 00:00:00,7019458,39A,39A_40,1,44766,40200,45505.0,40173.0,BasDef,,,,29-JUN-18 15:43:00,",2417711,"
5772,DB,21-JUN-18 00:00:00,7019520,39A,39A_40,1,33677,28800,34128.0,28813.0,BasDef,,,,29-JUN-18 15:43:00,",2429600,"
5773,DB,21-JUN-18 00:00:00,7019528,39A,39A_40,1,79999,75600,80261.0,75600.0,BasDef,,,,29-JUN-18 15:43:00,",2416757,"
5774,DB,21-JUN-18 00:00:00,7019546,39A,39A_40,1,47166,42600,48392.0,42679.0,BasDef,,,,29-JUN-18 15:43:00,",2429018,"
5775,DB,21-JUN-18 00:00:00,7019561,39A,39A_40,1,56021,51000,57380.0,50948.0,BasDef,,,,29-JUN-18 15:43:00,",2425930,"
5776,DB,21-JUN-18 00:00:00,7019596,39A,39A_40,1,46566,42000,47464.0,42051.0,BasDef,,,,29-JUN-18 15:43:00,",2426066,"
5777,DB,21-JUN-18 00:00:00,7019710,39A,39A_43,2,43086,38400,43999.0,38443.0,BasDef,,,,29-JUN-18 15:43:00,",2416631,"
5833,DB,18-FEB-18 00:00:00,6264923,39A,39A_43,2,46163,42000,46657.0,42023.0,BasDef,,,,26-FEB-18 11:09:33,",2428566,"
5834,DB,18-FEB-18 00:00:00,6274917,39A,39A_43,2,42863,38700,43234.0,38743.0,BasDef,,,,26-FEB-18 11:09:33,",2423881,"
5835,DB,18-FEB-18 00:00:00,6271772,39A,39A_43,2,41063,36900,41036.0,36945.0,BasDef,,,,26-FEB-18 11:09:33,",2426697,"
5836,DB,18-FEB-18 00:00:00,6263988,39A,39A_43,2,44663,40500,44979.0,40500.0,BasDef,,,,26-FEB-18 11:09:33,",2426229,"
5879,DB,18-FEB-18 00:00:00,6276468,39A,39A_43,2,71406,67200,71885.0,67217.0,BasDef,,,,26-FEB-18 11:09:33,",2427402,"
