,DATE,temp,feels_like,temp_min,temp_max,pressure,humidity,Clear,Clouds,Drizzle,Fog,Mist,Rain,Smoke,Snow,DATES
93,2018-01-04 21:00:00,4.65,-0.68,3.99,6.25,991,81,0,1,0,0,0,0,0,0,2018-01-04 21:00:00
94,2018-01-04 22:00:00,4.54,-0.8,3.1,5.82,991,81,0,1,0,0,0,0,0,0,2018-01-04 22:00:00
95,2018-01-04 23:00:00,4.09,-0.8,3.2,5.73,991,87,0,1,0,0,0,0,0,0,2018-01-04 23:00:00
96,2018-01-05 00:00:00,4.09,-0.08,3.24,5.68,990,87,0,1,0,0,0,0,0,0,2018-01-05 00:00:00
97,2018-01-05 01:00:00,4.06,0.96,3.04,5.59,989,87,0,1,0,0,0,0,0,0,2018-01-05 01:00:00
98,2018-01-05 02:00:00,4.01,0.18,2.66,5.41,989,87,0,1,0,0,0,0,0,0,2018-01-05 02:00:00
99,2018-01-05 03:00:00,3.63,-1.34,2.73,5.32,989,87,0,1,0,0,0,0,0,0,2018-01-05 03:00:00
100,2018-01-05 04:00:00,2.75,-1.63,2.0,5.14,988,87,0,1,0,0,0,0,0,0,2018-01-05 04:00:00
101,2018-01-05 05:00:00,2.23,-1.73,1.76,4.77,989,93,0,1,0,0,0,0,0,0,2018-01-05 05:00:00
102,2018-01-05 06:00:00,2.25,-2.07,2.0,4.78,989,93,0,1,0,0,0,0,0,0,2018-01-05 06:00:00
103,2018-01-05 07:00:00,2.23,-2.45,2.0,4.7,989,93,0,1,0,0,0,0,0,0,2018-01-05 07:00:00
104,2018-01-05 08:00:00,2.21,-2.11,1.92,4.58,989,93,0,1,0,0,0,0,0,0,2018-01-05 08:00:00
105,2018-01-05 09:00:00,2.59,-2.39,1.95,4.56,990,93,0,1,0,0,0,0,0,0,2018-01-05 09:00:00
106,2018-01-05 10:00:00,3.07,-1.99,2.22,4.65,990,87,0,1,0,0,0,0,0,0,2018-01-05 10:00:00
107,2018-01-05 11:00:00,3.56,-1.42,3.0,5.07,991,87,0,1,0,0,0,0,0,0,2018-01-05 11:00:00
108,2018-01-05 12:00:00,4.53,0.43,4.0,5.62,991,87,0,1,0,0,0,0,0,0,2018-01-05 12:00:00
109,2018-01-05 13:00:00,5.94,1.36,5.18,6.0,991,75,0,1,0,0,0,0,0,0,2018-01-05 13:00:00
110,2018-01-05 14:00:00,5.53,-0.19,4.74,6.17,991,75,0,1,0,0,0,0,0,0,2018-01-05 14:00:00
111,2018-01-05 15:00:00,5.46,1.34,4.61,6.2,992,81,0,1,0,0,0,0,0,0,2018-01-05 15:00:00
112,2018-01-05 16:00:00,5.01,0.82,4.07,6.03,992,81,0,1,0,0,0,0,0,0,2018-01-05 16:00:00
113,2018-01-05 17:00:00,4.04,-0.3,2.88,5.61,993,81,0,1,0,0,0,0,0,0,2018-01-05 17:00:00
114,2018-01-05 18:00:00,3.97,0.13,2.45,5.39,994,87,0,1,0,0,0,0,0,0,2018-01-05 18:00:00
115,2018-01-05 19:00:00,3.0,-0.99,1.36,5.25,995,87,0,1,0,0,0,0,0,0,2018-01-05 19:00:00
116,2018-01-05 20:00:00,3.22,-0.75,1.0,5.18,996,84,0,1,0,0,0,0,0,0,2018-01-05 20:00:00
117,2018-01-05 21:00:00,2.49,-1.07,0.71,5.2,997,93,0,1,0,0,0,0,0,0,2018-01-05 21:00:00
118,2018-01-05 22:00:00,1.31,-2.07,0.0,5.25,998,93,0,1,0,0,0,0,0,0,2018-01-05 22:00:00
119,2018-01-05 23:00:00,1.42,-0.7,0.0,5.55,999,100,0,1,0,0,0,0,0,0,2018-01-05 23:00:00
120,2018-01-06 00:00:00,0.94,-2.85,0.0,5.21,1001,93,0,1,0,0,0,0,0,0,2018-01-06 00:00:00
121,2018-01-06 01:00:00,0.86,-2.79,-0.07,5.29,1002,100,0,1,0,0,0,0,0,0,2018-01-06 01:00:00
122,2018-01-06 02:00:00,1.44,-3.0,1.0,5.4,1003,93,0,1,0,0,0,0,0,0,2018-01-06 02:00:00
123,2018-01-06 03:00:00,2.82,-2.13,2.0,5.7,1004,93,0,1,0,0,0,0,0,0,2018-01-06 03:00:00
124,2018-01-06 04:00:00,3.72,-2.68,3.0,5.85,1005,87,0,1,0,0,0,0,0,0,2018-01-06 04:00:00
125,2018-01-06 05:00:00,4.58,-2.2,3.56,5.84,1006,81,0,1,0,0,0,0,0,0,2018-01-06 05:00:00
126,2018-01-06 06:00:00,4.98,-2.46,3.87,5.87,1008,81,0,1,0,0,0,0,0,0,2018-01-06 06:00:00
127,2018-01-06 07:00:00,5.4,-1.97,4.07,6.07,1009,81,0,1,0,0,0,0,0,0,2018-01-06 07:00:00
128,2018-01-06 08:00:00,5.42,-2.48,4.27,6.16,1011,75,0,1,0,0,0,0,0,0,2018-01-06 08:00:00
129,2018-01-06 09:00:00,5.43,-3.19,4.42,6.19,1012,75,0,1,0,0,0,0,0,0,2018-01-06 09:00:00
130,2018-01-06 10:00:00,5.96,-2.22,5.0,6.26,1014,75,0,1,0,0,0,0,0,0,2018-01-06 10:00:00
131,2018-01-06 11:00:00,5.98,-2.19,5.25,6.26,1015,75,0,1,0,0,0,0,0,0,2018-01-06 11:00:00
132,2018-01-06 12:00:00,5.98,-2.7,5.3,6.23,1016,70,0,1,0,0,0,0,0,0,2018-01-06 12:00:00
133,2018-01-06 13:00:00,5.99,-3.41,5.47,6.27,1017,70,0,1,0,0,0,0,0,0,2018-01-06 13:00:00
134,2018-01-06 14:00:00,5.48,-2.92,4.86,6.19,1018,70,0,1,0,0,0,0,0,0,2018-01-06 14:00:00
135,2018-01-06 15:00:00,5.06,-4.48,4.58,6.08,1019,70,0,1,0,0,0,0,0,0,2018-01-06 15:00:00
136,2018-01-06 16:00:00,5.03,-3.22,4.26,6.02,1020,65,0,1,0,0,0,0,0,0,2018-01-06 16:00:00
137,2018-01-06 17:00:00,4.53,-3.65,3.81,5.88,1021,70,0,1,0,0,0,0,0,0,2018-01-06 17:00:00
138,2018-01-06 18:00:00,4.51,-3.17,3.64,5.83,1023,75,0,1,0,0,0,0,0,0,2018-01-06 18:00:00
139,2018-01-06 19:00:00,4.51,-1.72,3.6,5.8,1024,75,0,0,0,0,0,1,0,0,2018-01-06 19:00:00
140,2018-01-06 20:00:00,4.11,-2.32,3.44,5.82,1024,70,0,1,0,0,0,0,0,0,2018-01-06 20:00:00
141,2018-01-06 21:00:00,4.11,-2.9,3.46,5.75,1026,75,0,1,0,0,0,0,0,0,2018-01-06 21:00:00
142,2018-01-06 22:00:00,3.61,-1.52,3.0,5.48,1026,81,0,1,0,0,0,0,0,0,2018-01-06 22:00:00
143,2018-01-06 23:00:00,3.24,-2.3,3.0,5.56,1027,81,0,1,0,0,0,0,0,0,2018-01-06 23:00:00
144,2018-01-07 00:00:00,2.76,-2.7,2.0,5.4,1027,87,0,1,0,0,0,0,0,0,2018-01-07 00:00:00
145,2018-01-07 01:00:00,3.17,-2.23,2.64,5.3,1027,87,0,1,0,0,0,0,0,0,2018-01-07 01:00:00
146,2018-01-07 02:00:00,3.13,-1.56,2.3,5.19,1028,87,0,1,0,0,0,0,0,0,2018-01-07 02:00:00
147,2018-01-07 03:00:00,2.26,-2.06,2.0,5.03,1028,93,0,1,0,0,0,0,0,0,2018-01-07 03:00:00
148,2018-01-07 04:00:00,1.41,-3.04,1.0,4.93,1028,93,0,1,0,0,0,0,0,0,2018-01-07 04:00:00
149,2018-01-07 05:00:00,1.03,-3.6,-1.0,4.72,1029,87,0,1,0,0,0,0,0,0,2018-01-07 05:00:00
